task_id,task_description,created_at,due_date,assigned_to,priority,status,category,estimated_hours,actual_hours,user_workload,user_skill_level,clean_description,priority_encoded,workload_score
149,Movie can reduce candidate information partner program receive rest nearly away important.,10-06-2025,25-07-2025,user_8,High,To Do,Bug,9.9,8.9,6.9,Expert,movie reduce candidate information partner program receive rest nearly away important,0,0.6330275229357798
150,Send term policy oil thus line pass drive great.,06-06-2025,19-07-2025,user_8,Medium,To Do,Improvement,6.9,6.3,2.0,Intermediate,send term policy oil thus line pas drive great,2,0.2531645569620253
151,These those west we want house child bill across hour business foot.,10-06-2025,12-06-2025,user_9,Medium,In Progress,Bug,11.4,12.1,4.3,Intermediate,west want house child bill across hour business foot,2,0.34677419354838707
152,Happy single memory approach bed set yeah yes admit federal whom audience.,08-06-2025,06-07-2025,user_2,Medium,To Do,Improvement,6.3,6.4,2.4,Intermediate,happy single memory approach bed set yeah yes admit federal audience,2,0.3287671232876712
153,Top tend sometimes control brother some similar apply.,22-05-2025,27-05-2025,user_10,High,To Do,Improvement,3.5,4.4,5.9,Expert,top tend sometimes control brother similar apply,0,1.3111111111111111
154,Former until section mean factor find animal every quickly great.,06-06-2025,14-07-2025,user_4,Medium,To Do,Feature,5.7,4.2,3.0,Expert,former section mean factor find animal every quickly great,2,0.44776119402985076
155,Hit station challenge list eight environmental building seek have than war.,15-06-2025,25-06-2025,user_10,Medium,To Do,Improvement,6.8,6.3,4.8,Expert,hit station challenge list eight environmental building seek war,2,0.6153846153846154
156,Price identify second agreement billion wait course we finish artist.,03-06-2025,10-06-2025,user_9,Medium,In Progress,Improvement,9.6,8.3,7.1,Expert,price identify second agreement billion wait course finish artist,2,0.6698113207547169
157,Peace listen production idea anything administration trip list name full.,11-06-2025,24-07-2025,user_9,Low,In Progress,Bug,6.1,6.3,2.0,Intermediate,peace listen production idea anything administration trip list name full,1,0.28169014084507044
158,Road six film character head ago.,15-05-2025,09-07-2025,user_10,Medium,To Do,Feature,3.4,3.1,1.4,Beginner,road six film character head ago,2,0.3181818181818181
159,Teacher pull consider child center can.,07-05-2025,08-06-2025,user_3,High,In Progress,Improvement,5.8,4.5,8.8,Expert,teacher pull consider child center,0,1.2941176470588236
160,Reveal front like pass reach physical lose prove about middle shoulder.,15-05-2025,27-06-2025,user_3,Low,In Progress,Bug,1.8,2.0,3.2,Beginner,reveal front like pas reach physical lose prove middle shoulder,1,1.142857142857143
161,Though itself deep medical respond gun store evening degree.,19-06-2025,22-07-2025,user_8,Low,To Do,Improvement,2.9,3.0,5.7,Intermediate,though deep medical respond gun store evening degree,1,1.4615384615384617
162,You build create do beat edge west shake difficult listen.,21-05-2025,09-07-2025,user_5,High,To Do,Improvement,5.5,4.7,8.9,Intermediate,build create beat edge west shake difficult listen,0,1.3692307692307693
163,Middle deep arm try herself them happen present.,04-05-2025,01-06-2025,user_2,Medium,To Do,Bug,7.7,6.4,6.0,Intermediate,middle deep arm try happen present,2,0.6896551724137931
164,Will decade campaign turn forward season different safe plan agreement.,04-06-2025,18-06-2025,user_8,Low,To Do,Feature,6.1,6.2,9.2,Intermediate,decade campaign turn forward season different safe plan agreement,1,1.295774647887324
165,Simply speech reason maintain tax out high term indeed property thing recently.,14-05-2025,15-06-2025,user_6,Medium,Done,Bug,2.2,2.1,10.2,Expert,simply speech reason maintain tax high term indeed property thing recently,2,3.1874999999999996
166,Pm go I miss else ever wife do during high agent material.,07-05-2025,18-06-2025,user_10,Low,To Do,Feature,10.7,13.1,4.5,Intermediate,miss else ever wife high agent material,1,0.38461538461538464
167,Necessary ability statement music finish market read training million top study.,30-04-2025,06-07-2025,user_3,Low,Done,Feature,11.0,7.9,11.1,Intermediate,necessary ability statement music finish market read training million top study,1,0.9249999999999999
168,Former give policy while sea book would.,09-06-2025,26-06-2025,user_4,Medium,Done,Improvement,5.0,6.1,10.0,Beginner,former give policy sea book would,2,1.6666666666666667
169,Parent still develop try life discuss newspaper particular sea individual.,19-05-2025,18-06-2025,user_5,Low,In Progress,Bug,8.7,9.6,9.0,Beginner,parent still develop try life discus newspaper particular sea individual,1,0.9278350515463918
170,Pick discussion book agency throughout interview sea room contain.,14-05-2025,11-07-2025,user_6,Medium,To Do,Improvement,11.7,13.6,6.7,Expert,pick discussion book agency throughout interview sea room contain,2,0.5275590551181103
171,Ask push also every prevent modern score think lay other student different report.,24-05-2025,03-07-2025,user_9,Low,In Progress,Improvement,3.7,4.0,10.8,Beginner,ask push also every prevent modern score think lay student different report,1,2.297872340425532
172,Yard standard deal fact not article.,03-05-2025,19-06-2025,user_9,High,To Do,Bug,2.8,2.8,10.7,Expert,yard standard deal fact article,0,2.8157894736842106
173,No we early skill about investment beyond.,21-06-2025,03-07-2025,user_6,Medium,In Progress,Feature,1.8,1.2,8.5,Beginner,early skill investment beyond,2,3.035714285714286
174,Discussion yeah back former draw figure soldier analysis win.,19-06-2025,06-07-2025,user_2,Medium,Done,Bug,5.9,6.2,11.8,Intermediate,discussion yeah back former draw figure soldier analysis win,2,1.710144927536232
175,Stay degree everybody understand activity dream Democrat under summer number example.,08-06-2025,20-07-2025,user_1,Medium,In Progress,Feature,11.2,11.3,3.9,Intermediate,stay degree everybody understand activity dream democrat summer number example,2,0.319672131147541
176,Picture lead force effect certainly all none blood along middle back ago seat.,25-05-2025,22-07-2025,user_1,High,To Do,Improvement,10.5,12.1,11.7,Intermediate,picture lead force effect certainly none blood along middle back ago seat,0,1.017391304347826
177,Boy evidence might discuss one enter worry fight later local bring.,02-05-2025,21-05-2025,user_6,Low,Done,Improvement,10.5,10.7,5.6,Expert,boy evidence might discus one enter worry fight later local bring,1,0.4869565217391304
178,Base cold even including rock opportunity possible however raise station.,15-05-2025,18-06-2025,user_4,Medium,To Do,Bug,8.2,8.2,6.8,Intermediate,base cold even including rock opportunity possible however raise station,2,0.7391304347826088
179,Foot once system yet sign before kid.,12-06-2025,11-07-2025,user_6,Medium,Done,Feature,1.7,1.8,8.3,Beginner,foot system yet sign kid,2,3.074074074074074
180,Huge follow school we important against run technology.,11-05-2025,13-07-2025,user_3,Medium,In Progress,Bug,3.4,2.7,1.5,Expert,huge follow school important run technology,2,0.3409090909090909
181,Mind culture research up chance dark seem home I investment piece far.,07-06-2025,17-07-2025,user_2,High,To Do,Improvement,3.6,2.7,7.2,Expert,mind culture research chance dark seem home investment piece far,0,1.565217391304348
182,Government too hospital either worker clear clear market ability.,01-05-2025,24-06-2025,user_8,Low,In Progress,Bug,1.3,1.1,4.7,Expert,government hospital either worker clear clear market ability,1,2.0434782608695654
183,Memory test candidate will goal population occur.,19-05-2025,11-07-2025,user_1,Low,To Do,Improvement,7.3,9.4,11.5,Beginner,memory test candidate goal population occur,1,1.3855421686746987
184,Executive able term new bag about international team role yet treatment can.,29-05-2025,19-07-2025,user_6,Medium,To Do,Bug,3.4,3.5,8.1,Expert,executive able term new bag international team role yet treatment,2,1.8409090909090906
185,Product police rise less learn break long close section ten north page manage.,23-05-2025,12-06-2025,user_6,Medium,In Progress,Bug,11.7,13.2,6.5,Beginner,product police rise le learn break long close section ten north page manage,2,0.5118110236220472
186,Similar recent air already appear yet bed trouble election effort.,05-05-2025,07-07-2025,user_8,Medium,In Progress,Bug,8.6,10.9,3.9,Expert,similar recent air already appear yet bed trouble election effort,2,0.40625
187,Message front early game glass glass evidence matter deep most question develop.,21-06-2025,08-07-2025,user_3,Low,To Do,Improvement,6.3,6.6,7.4,Expert,message front early game glass glass evidence matter deep question develop,1,1.0136986301369864
188,Thought support turn collection day nature attorney business star through despite many.,20-06-2025,08-07-2025,user_6,High,To Do,Bug,4.3,4.7,1.8,Intermediate,thought support turn collection day nature attorney business star despite many,0,0.339622641509434
189,Admit hospital and dark term race per.,28-04-2025,23-07-2025,user_1,Low,In Progress,Feature,2.8,2.8,2.1,Intermediate,admit hospital dark term race per,1,0.5526315789473685
190,Interview example quality administration green amount yard.,16-06-2025,24-06-2025,user_3,Medium,In Progress,Feature,4.7,4.6,3.9,Expert,interview example quality administration green amount yard,2,0.6842105263157895
191,Role worker ten manage kitchen outside go care south military visit effort.,30-05-2025,24-07-2025,user_7,Medium,In Progress,Improvement,7.5,7.4,6.3,Intermediate,role worker ten manage kitchen outside care south military visit effort,2,0.7411764705882353
192,Tough carry kind growth value have high bed could manage in.,19-06-2025,12-07-2025,user_1,High,To Do,Improvement,8.1,7.4,9.8,Intermediate,tough carry kind growth value high bed could manage,0,1.076923076923077
193,Thing class event peace our specific official.,14-05-2025,15-05-2025,user_10,Medium,To Do,Improvement,6.3,5.3,1.9,Intermediate,thing class event peace specific official,2,0.2602739726027397
194,Center within say magazine close improve.,08-06-2025,01-07-2025,user_5,Medium,To Do,Bug,11.7,14.1,9.5,Expert,center within say magazine close improve,2,0.7480314960629921
195,Agree turn college letter inside analysis.,08-06-2025,15-07-2025,user_3,Medium,To Do,Bug,9.3,9.4,5.7,Expert,agree turn college letter inside analysis,2,0.5533980582524272
196,Government vote interesting glass believe education able ball name within month could.,21-05-2025,25-05-2025,user_5,High,In Progress,Improvement,4.9,4.5,2.5,Intermediate,government vote interesting glass believe education able ball name within month could,0,0.423728813559322
197,Long nation type now perhaps yet usually identify.,03-05-2025,17-06-2025,user_10,High,In Progress,Feature,7.2,8.2,11.0,Beginner,long nation type perhaps yet usually identify,0,1.3414634146341464
198,Stop hold authority similar let crime billion kind perhaps human authority Congress dog.,02-05-2025,06-05-2025,user_3,Medium,To Do,Bug,7.8,8.6,4.0,Beginner,stop hold authority similar let crime billion kind perhaps human authority congress dog,2,0.45454545454545453
199,Expert then their follow program detail old hear call next about food.,15-05-2025,14-06-2025,user_10,Medium,In Progress,Feature,11.4,9.2,8.5,Intermediate,expert follow program detail old hear call next food,2,0.6854838709677419
200,Film always drop once up young account spend room individual state develop employee.,21-06-2025,18-07-2025,user_10,Medium,To Do,Bug,6.5,5.2,2.5,Intermediate,film always drop young account spend room individual state develop employee,2,0.3333333333333333
201,Bed figure audience deep forget establish Democrat and sound.,08-06-2025,21-06-2025,user_7,Medium,To Do,Improvement,11.8,13.1,8.7,Intermediate,bed figure audience deep forget establish democrat sound,2,0.6796874999999999
202,Once operation worry common debate control south.,25-06-2025,13-07-2025,user_4,Medium,To Do,Bug,1.2,1.4,3.7,Expert,operation worry common debate control south,2,1.6818181818181817
203,Wrong course need yourself value million career determine authority audience available claim wonder animal.,24-06-2025,03-07-2025,user_8,Low,To Do,Bug,1.5,1.2,9.0,Beginner,wrong course need value million career determine authority audience available claim wonder animal,1,3.6
204,Rate recognize two various five worker theory Mrs wish.,20-06-2025,21-07-2025,user_2,Low,In Progress,Feature,2.4,2.4,3.3,Expert,rate recognize two various five worker theory mr wish,1,0.9705882352941176
205,Loss throw during win present heavy people occur blood industry environmental.,01-05-2025,12-06-2025,user_2,Medium,In Progress,Improvement,10.4,8.3,10.3,Expert,loss throw win present heavy people occur blood industry environmental,2,0.9035087719298246
206,Push author too them great church field system hand sure letter case similar.,25-06-2025,19-07-2025,user_10,Low,In Progress,Feature,3.8,4.2,6.9,Intermediate,push author great church field system hand sure letter case similar,1,1.4375000000000002
207,School life professional hair peace commercial indeed.,20-05-2025,22-05-2025,user_9,Low,To Do,Bug,1.4,1.4,7.6,Expert,school life professional hair peace commercial indeed,1,3.1666666666666665
208,Tough series cold probably ability effect.,27-04-2025,11-07-2025,user_6,Medium,Done,Bug,5.8,6.5,11.2,Intermediate,tough series cold probably ability effect,2,1.6470588235294117
209,Right knowledge life surface while travel federal happy however result off.,03-05-2025,17-07-2025,user_2,Medium,In Progress,Bug,7.9,9.6,11.1,Intermediate,right knowledge life surface travel federal happy however result,2,1.247191011235955
210,Somebody successful personal short seat argue explain price base.,19-05-2025,22-06-2025,user_9,High,Done,Feature,2.9,3.3,1.9,Beginner,somebody successful personal short seat argue explain price base,0,0.48717948717948717
211,Improve citizen rich develop summer store life.,17-06-2025,29-06-2025,user_5,Medium,To Do,Feature,5.3,5.7,10.3,Expert,improve citizen rich develop summer store life,2,1.634920634920635
212,Effort edge mention life interesting fast share particularly possible event environmental.,13-06-2025,24-07-2025,user_8,High,In Progress,Bug,4.5,4.5,11.4,Expert,effort edge mention life interesting fast share particularly possible event environmental,0,2.0727272727272728
213,Church less assume government indeed blood understand here state nearly.,03-06-2025,12-06-2025,user_3,High,To Do,Feature,10.1,12.5,6.9,Intermediate,church le assume government indeed blood understand state nearly,0,0.6216216216216217
214,Official hit task no each stop for cell face hand.,30-04-2025,02-06-2025,user_1,High,In Progress,Feature,2.1,2.7,4.1,Intermediate,official hit task stop cell face hand,0,1.3225806451612903
215,Themselves million gun see arm sell help out event manage method our.,14-05-2025,21-07-2025,user_1,High,To Do,Improvement,10.0,9.0,9.0,Intermediate,million gun see arm sell help event manage method,0,0.8181818181818182
216,Recently cost seven again item event surface any choose.,24-06-2025,12-07-2025,user_5,Medium,To Do,Feature,1.1,1.1,7.3,Expert,recently cost seven item event surface choose,2,3.476190476190476
217,Site series story step blood positive president similar cell industry character only ten.,15-05-2025,12-07-2025,user_1,Medium,To Do,Feature,1.7,1.2,1.4,Intermediate,site series story step blood positive president similar cell industry character ten,2,0.5185185185185185
218,Mrs story loss economy population strong.,24-06-2025,06-07-2025,user_3,Medium,To Do,Feature,8.7,9.9,2.7,Intermediate,mr story loss economy population strong,2,0.2783505154639176
219,Suddenly answer speak sort economy federal kind guy.,22-05-2025,08-07-2025,user_1,Low,To Do,Bug,8.8,9.7,6.0,Intermediate,suddenly answer speak sort economy federal kind guy,1,0.6122448979591836
220,Plant your customer difficult car blood five.,30-05-2025,13-07-2025,user_5,Medium,In Progress,Feature,4.0,4.7,9.3,Beginner,plant customer difficult car blood five,2,1.86
221,Reach political us indeed such senior table yourself prepare.,31-05-2025,23-06-2025,user_7,Medium,To Do,Feature,6.8,5.2,10.3,Intermediate,reach political indeed senior table prepare,2,1.3205128205128207
222,Usually figure late pretty item treatment.,25-05-2025,27-06-2025,user_5,High,In Progress,Bug,9.3,9.9,9.6,Expert,usually figure late pretty item treatment,0,0.9320388349514562
223,Fight whole four knowledge democratic special pick school interview weight material.,07-06-2025,25-07-2025,user_2,Medium,To Do,Feature,3.9,4.4,3.9,Beginner,fight whole four knowledge democratic special pick school interview weight material,2,0.7959183673469387
224,Improve way billion should fight face accept question.,13-06-2025,14-06-2025,user_9,High,To Do,Improvement,8.5,8.4,3.7,Intermediate,improve way billion fight face accept question,0,0.38947368421052636
225,Prepare board fund air dark fly.,08-06-2025,20-06-2025,user_5,Medium,To Do,Feature,4.4,5.0,7.3,Expert,prepare board fund air dark fly,2,1.3518518518518516
226,Consider may break wrong current woman bed once figure.,30-04-2025,17-06-2025,user_8,Medium,In Progress,Improvement,5.9,7.9,7.1,Intermediate,consider may break wrong current woman bed figure,2,1.0289855072463767
227,Statement design play control movie able group director figure.,11-05-2025,02-07-2025,user_10,Low,In Progress,Feature,4.8,3.0,6.7,Expert,statement design play control movie able group director figure,1,1.1551724137931034
228,International almost likely country hour job role by more son discuss unit.,10-06-2025,26-06-2025,user_4,High,To Do,Bug,6.1,7.0,2.9,Expert,international almost likely country hour job role son discus unit,0,0.4084507042253521
229,Easy seem subject along Congress go.,29-05-2025,13-06-2025,user_4,Low,In Progress,Bug,1.5,1.8,2.1,Intermediate,easy seem subject along congress,1,0.8400000000000001
230,Hand another cut require century best home body organization chair arrive prevent join.,01-05-2025,22-06-2025,user_2,High,To Do,Improvement,11.0,9.3,3.4,Expert,hand another cut require century best home body organization chair arrive prevent join,0,0.2833333333333333
231,Deep significant what who instead happen quite two trial ready go myself network.,03-06-2025,19-07-2025,user_9,Medium,In Progress,Feature,11.7,11.1,1.8,Beginner,deep significant instead happen quite two trial ready network,2,0.14173228346456693
232,As law author entire prepare film stay.,24-05-2025,24-06-2025,user_4,Medium,In Progress,Feature,2.6,3.3,11.0,Intermediate,law author entire prepare film stay,2,3.0555555555555554
233,Head cost safe fly film person meeting yet talk.,05-05-2025,13-07-2025,user_4,High,To Do,Feature,11.5,13.2,1.0,Intermediate,head cost safe fly film person meeting yet talk,0,0.08
234,Her to campaign among whom whose stand single field safe rate deep.,08-05-2025,24-07-2025,user_5,Medium,In Progress,Bug,9.8,11.2,10.4,Beginner,campaign among whose stand single field safe rate deep,2,0.9629629629629629
235,Significant civil early concern air add that production onto.,09-06-2025,06-07-2025,user_2,Medium,In Progress,Feature,1.6,2.0,4.0,Intermediate,significant civil early concern air add production onto,2,1.5384615384615383
236,Official newspaper decide five bad president.,24-05-2025,11-07-2025,user_10,Low,To Do,Feature,6.0,7.2,8.2,Beginner,official newspaper decide five bad president,1,1.1714285714285713
237,While send eat husband again statement name side store media.,10-06-2025,01-07-2025,user_1,Low,In Progress,Bug,5.9,4.2,7.9,Intermediate,send eat husband statement name side store medium,1,1.144927536231884
238,Practice center message defense to those claim training upon effect.,24-05-2025,15-07-2025,user_10,High,To Do,Feature,2.8,2.3,10.6,Expert,practice center message defense claim training upon effect,0,2.7894736842105265
239,Floor any role culture general at possible specific nothing also finally right.,22-05-2025,07-06-2025,user_3,High,To Do,Bug,4.3,3.2,5.1,Intermediate,floor role culture general possible specific nothing also finally right,0,0.9622641509433962
240,Me point despite law main civil require huge.,23-06-2025,08-07-2025,user_9,Medium,To Do,Bug,7.1,6.9,5.9,Intermediate,point despite law main civil require huge,2,0.7283950617283952
241,Sea everybody win heart approach still shoulder price probably camera together win build.,05-05-2025,26-06-2025,user_4,Medium,In Progress,Feature,5.8,5.4,6.0,Intermediate,sea everybody win heart approach still shoulder price probably camera together win build,2,0.8823529411764706
242,Thousand life next tonight chair store ten painting hand alone baby east treat.,28-04-2025,04-07-2025,user_6,Low,In Progress,Feature,11.4,13.2,10.4,Expert,thousand life next tonight chair store ten painting hand alone baby east treat,1,0.8387096774193549
243,Choice what sea hope somebody program various president.,08-06-2025,25-06-2025,user_4,Low,To Do,Bug,9.9,9.4,9.2,Beginner,choice sea hope somebody program various president,1,0.8440366972477064
244,Sister listen wonder herself behind program describe development both central special.,28-05-2025,16-06-2025,user_3,High,In Progress,Improvement,5.2,5.6,8.0,Expert,sister listen wonder behind program describe development central special,0,1.2903225806451613
245,Blue skin quickly yes present response leave off.,06-05-2025,08-05-2025,user_1,Low,To Do,Feature,2.8,2.3,4.8,Intermediate,blue skin quickly yes present response leave,1,1.263157894736842
246,Soon the onto father care mind call region better tree.,19-06-2025,07-07-2025,user_1,Medium,To Do,Improvement,2.1,2.6,2.5,Intermediate,soon onto father care mind call region better tree,2,0.8064516129032258
247,If defense bag raise speech actually.,02-05-2025,11-07-2025,user_7,Medium,In Progress,Feature,1.1,1.5,11.2,Intermediate,defense bag raise speech actually,2,5.333333333333333
248,None customer sing produce himself task eye threat.,15-05-2025,07-07-2025,user_9,Low,Done,Improvement,10.8,11.6,10.2,Expert,none customer sing produce task eye threat,1,0.8644067796610169
249,Whether team discover product him citizen group kind but.,16-06-2025,30-06-2025,user_1,Medium,Done,Feature,8.9,5.9,6.6,Intermediate,whether team discover product citizen group kind,2,0.6666666666666666
250,Central our their know month method safe off since represent.,11-05-2025,11-07-2025,user_1,Medium,To Do,Feature,9.9,9.3,11.4,Expert,central know month method safe since represent,2,1.0458715596330275
251,Research among full miss shoulder with purpose even thank.,20-06-2025,20-07-2025,user_3,High,Done,Bug,11.3,13.5,4.9,Beginner,research among full miss shoulder purpose even thank,0,0.3983739837398374
252,Author subject you rest find feeling home nothing if rock benefit.,08-05-2025,13-05-2025,user_3,Medium,To Do,Feature,7.1,7.4,12.0,Intermediate,author subject rest find feeling home nothing rock benefit,2,1.4814814814814816
253,Able kitchen surface side future history admit up.,02-05-2025,26-05-2025,user_8,Medium,Done,Bug,6.0,7.4,3.9,Intermediate,able kitchen surface side future history admit,2,0.5571428571428572
254,Sit candidate those from TV turn arrive.,06-06-2025,12-07-2025,user_5,Medium,To Do,Feature,1.6,1.0,9.5,Beginner,sit candidate turn arrive,2,3.6538461538461537
255,Black movie risk garden everybody partner scene party seek best though.,15-06-2025,06-07-2025,user_4,Medium,In Progress,Improvement,10.4,11.1,12.0,Expert,black movie risk garden everybody partner scene party seek best though,2,1.0526315789473684
256,Put result seek maintain Democrat once describe operation rock realize medical would across.,01-06-2025,11-07-2025,user_7,Medium,To Do,Improvement,8.9,8.3,10.7,Expert,put result seek maintain democrat describe operation rock realize medical would across,2,1.0808080808080807
257,Local how significant cut ability people him increase debate bring economy.,09-06-2025,01-07-2025,user_7,Low,In Progress,Improvement,6.4,6.7,7.4,Intermediate,local significant cut ability people increase debate bring economy,1,1.0
258,Above hear none three teach leg film push form question beat strong.,17-05-2025,17-06-2025,user_1,Medium,To Do,Improvement,9.2,12.2,11.1,Expert,hear none three teach leg film push form question beat strong,2,1.0882352941176472
259,Amount mention southern available medical power field.,19-05-2025,03-07-2025,user_4,Medium,In Progress,Bug,3.6,5.7,2.0,Intermediate,amount mention southern available medical power field,2,0.4347826086956522
260,World site who radio short day agreement everything military cultural soon.,06-06-2025,16-06-2025,user_1,Medium,In Progress,Bug,1.4,1.6,2.0,Beginner,world site radio short day agreement everything military cultural soon,2,0.8333333333333334
261,Half any business or than long message group quickly reveal practice brother.,04-06-2025,24-07-2025,user_6,Medium,In Progress,Feature,8.7,9.2,2.7,Intermediate,half business long message group quickly reveal practice brother,2,0.2783505154639176
262,Every machine successful statement every everyone ten woman form statement election reduce growth land.,14-05-2025,19-05-2025,user_2,Low,To Do,Improvement,10.8,12.5,9.6,Expert,every machine successful statement every everyone ten woman form statement election reduce growth land,1,0.8135593220338982
263,Property beyond best yeah break then Republican continue response century measure process force pattern.,14-06-2025,07-07-2025,user_2,Medium,In Progress,Feature,10.6,9.4,2.8,Beginner,property beyond best yeah break republican continue response century measure process force pattern,2,0.24137931034482757
264,Fund east middle threat single six by husband program cup unit where consumer.,12-06-2025,27-06-2025,user_1,Medium,To Do,Bug,8.5,7.0,8.2,Beginner,fund east middle threat single six husband program cup unit consumer,2,0.863157894736842
265,Democrat member music strategy perhaps these trial ago from.,08-06-2025,06-07-2025,user_8,High,Done,Improvement,4.6,4.3,4.0,Expert,democrat member music strategy perhaps trial ago,0,0.7142857142857143
266,Commercial their training from economic nothing marriage wonder drop fish line.,12-06-2025,12-06-2025,user_4,Medium,In Progress,Bug,10.9,12.6,4.3,Intermediate,commercial training economic nothing marriage wonder drop fish line,2,0.36134453781512604
267,Put black join community different from always.,20-06-2025,02-07-2025,user_7,Medium,In Progress,Feature,2.3,2.0,4.7,Intermediate,put black join community different always,2,1.4242424242424243
268,Help between use magazine senior forward current accept.,19-06-2025,27-06-2025,user_7,Medium,Done,Bug,9.0,9.9,8.0,Expert,help use magazine senior forward current accept,2,0.8
269,Radio budget southern social prove good accept east usually poor decide parent offer.,27-05-2025,15-06-2025,user_6,High,To Do,Improvement,5.8,5.7,11.6,Expert,radio budget southern social prove good accept east usually poor decide parent offer,0,1.7058823529411764
270,Over little seek human raise somebody dog Mrs.,03-06-2025,19-07-2025,user_4,Medium,In Progress,Feature,9.6,10.9,2.8,Beginner,little seek human raise somebody dog mr,2,0.2641509433962264
271,Others girl resource hold similar peace few.,03-05-2025,30-05-2025,user_4,High,To Do,Bug,1.9,1.9,3.0,Intermediate,others girl resource hold similar peace,0,1.0344827586206897
272,Market and idea nature democratic attorney card notice measure probably test.,23-05-2025,01-07-2025,user_8,Low,To Do,Feature,9.5,9.3,6.9,Intermediate,market idea nature democratic attorney card notice measure probably test,1,0.6571428571428571
273,Him natural evening instead situation feel mean let thing will.,17-06-2025,23-07-2025,user_7,High,In Progress,Improvement,5.9,7.0,1.0,Intermediate,natural evening instead situation feel mean let thing,0,0.14492753623188406
274,Six cost quality we glass dinner.,08-05-2025,28-05-2025,user_10,Medium,In Progress,Improvement,4.1,5.4,6.4,Beginner,six cost quality glass dinner,2,1.254901960784314
275,Car rate both expect everybody safe.,23-06-2025,22-07-2025,user_9,High,In Progress,Bug,5.1,4.4,5.6,Intermediate,car rate expect everybody safe,0,0.9180327868852459
276,Lawyer which former image candidate consider sell water growth kitchen.,24-05-2025,08-06-2025,user_1,Medium,To Do,Bug,4.6,4.5,7.2,Intermediate,lawyer former image candidate consider sell water growth kitchen,2,1.2857142857142858
277,You ball quality miss imagine itself thing effort major tough throw stock road.,21-06-2025,10-07-2025,user_3,Medium,In Progress,Feature,6.7,5.8,3.6,Beginner,ball quality miss imagine thing effort major tough throw stock road,2,0.4675324675324675
278,Food station product get single defense life police maybe war international with control.,24-05-2025,19-07-2025,user_6,High,In Progress,Bug,6.2,9.0,4.5,Intermediate,food station product get single defense life police maybe war international control,0,0.625
279,Open beat gas government avoid once question few star wrong factor change bar.,23-06-2025,19-07-2025,user_3,Low,To Do,Feature,1.7,1.9,3.6,Intermediate,open beat gas government avoid question star wrong factor change bar,1,1.3333333333333333
280,Feel heart particularly large fast party.,20-06-2025,18-07-2025,user_2,Medium,To Do,Bug,8.8,10.0,4.7,Beginner,feel heart particularly large fast party,2,0.47959183673469385
281,Court base size few per blood such section recent agent number wall.,05-05-2025,11-05-2025,user_9,Medium,To Do,Improvement,9.3,12.8,4.3,Intermediate,court base size per blood section recent agent number wall,2,0.4174757281553398
282,Another allow democratic hundred skin speak carry court apply step represent.,31-05-2025,26-06-2025,user_4,Medium,In Progress,Feature,11.5,11.9,4.4,Expert,another allow democratic hundred skin speak carry court apply step represent,2,0.35200000000000004
283,Line news necessary money reflect picture clearly.,06-05-2025,12-06-2025,user_3,Medium,In Progress,Feature,6.0,6.4,8.6,Intermediate,line news necessary money reflect picture clearly,2,1.2285714285714284
284,Stay impact fight support stand my already turn middle six out.,26-05-2025,20-07-2025,user_8,Low,In Progress,Feature,5.5,6.4,9.6,Expert,stay impact fight support stand already turn middle six,1,1.4769230769230768
285,Policy free think kid cup team long add girl at hit let move.,22-05-2025,22-07-2025,user_10,Medium,In Progress,Improvement,2.1,1.8,10.3,Intermediate,policy free think kid cup team long add girl hit let move,2,3.3225806451612905
286,Program whom sister find test now wish far agent police talk.,05-05-2025,01-06-2025,user_9,High,Done,Feature,7.2,7.2,4.8,Beginner,program sister find test wish far agent police talk,0,0.5853658536585367
287,Room painting compare hot hot find join fact attorney sport business identify fund.,16-06-2025,14-07-2025,user_5,High,To Do,Feature,11.6,13.5,6.1,Intermediate,room painting compare hot hot find join fact attorney sport business identify fund,0,0.48412698412698413
288,Cup later you little tonight pick brother tree dark prevent.,07-05-2025,16-05-2025,user_4,High,Done,Feature,11.3,12.3,7.3,Expert,cup later little tonight pick brother tree dark prevent,0,0.5934959349593495
289,Air do high performance general suggest every card nothing.,08-06-2025,21-06-2025,user_3,Medium,To Do,Bug,4.7,6.9,2.9,Expert,air high performance general suggest every card nothing,2,0.5087719298245613
290,Student family attention power outside now trade news.,06-06-2025,20-07-2025,user_4,High,In Progress,Improvement,1.1,1.2,2.8,Intermediate,student family attention power outside trade news,0,1.3333333333333333
291,Rock along on success here positive fight thus weight fight tough a pull.,09-06-2025,20-06-2025,user_1,Medium,In Progress,Feature,8.9,7.1,2.5,Beginner,rock along success positive fight thus weight fight tough pull,2,0.25252525252525254
292,Us by yes project ability large.,07-06-2025,11-07-2025,user_6,High,To Do,Improvement,4.7,4.2,3.6,Expert,yes project ability large,0,0.631578947368421
293,Stage church of available until have page two air thought notice.,11-06-2025,12-06-2025,user_10,High,In Progress,Bug,5.2,4.8,6.9,Intermediate,stage church available page two air thought notice,0,1.1129032258064517
294,Unit which provide test leader ahead.,17-06-2025,17-07-2025,user_2,Low,To Do,Improvement,10.5,9.2,10.2,Expert,unit provide test leader ahead,1,0.8869565217391304
295,Congress can rule tend ability assume accept all trial main score.,06-06-2025,24-06-2025,user_2,High,In Progress,Bug,8.1,6.3,3.3,Intermediate,congress rule tend ability assume accept trial main score,0,0.3626373626373626
